Date,HSI
29/11/2021,23852.24023
30/11/2021,23475.25977
1/12/2021,23658.91992
2/12/2021,23788.92969
3/12/2021,23766.68945
6/12/2021,23349.38086
7/12/2021,23983.66016
8/12/2021,23996.86914
9/12/2021,24254.85938
10/12/2021,23995.7207
13/12/2021,23954.58008
14/12/2021,23635.94922
15/12/2021,23420.75977
16/12/2021,23475.5
17/12/2021,23192.63086
20/12/2021,22744.85938
21/12/2021,22971.33008
22/12/2021,23102.33008
23/12/2021,23193.64063
24/12/2021,23223.75977
28/12/2021,23280.56055
29/12/2021,23086.53906
30/12/2021,23112.00977
31/12/2021,23397.66992
3/1/2022,23274.75
4/1/2022,23289.83984
5/1/2022,22907.25
6/1/2022,23072.85938
7/1/2022,23493.38086
10/1/2022,23746.53906
11/1/2022,23739.06055
12/1/2022,24402.16992
13/1/2022,24429.76953
14/1/2022,24383.32031
17/1/2022,24218.0293
18/1/2022,24112.7793
19/1/2022,24127.84961
20/1/2022,24952.34961
21/1/2022,24965.55078
24/1/2022,24656.46094
25/1/2022,24243.60938
26/1/2022,24289.90039
27/1/2022,23807
28/1/2022,23550.08008
31/1/2022,23802.25977
4/2/2022,24573.28906
7/2/2022,24579.55078
8/2/2022,24329.49023
9/2/2022,24829.99023
10/2/2022,24924.34961
11/2/2022,24906.66016
14/2/2022,24556.57031
15/2/2022,24355.71094
16/2/2022,24718.90039
17/2/2022,24792.76953
18/2/2022,24327.71094
21/2/2022,24170.07031
22/2/2022,23520
23/2/2022,23660.2793
24/2/2022,22901.56055
25/2/2022,22767.17969
28/2/2022,22713.01953
1/3/2022,22761.71094
2/3/2022,22343.91992
3/3/2022,22467.33984
4/3/2022,21905.28906
7/3/2022,21057.63086
8/3/2022,20765.86914
9/3/2022,20627.71094
10/3/2022,20890.25977
11/3/2022,20553.78906
14/3/2022,19531.66016
15/3/2022,18415.08008
16/3/2022,20087.5
17/3/2022,21501.23047
18/3/2022,21412.40039
21/3/2022,21221.33984
22/3/2022,21889.2793
23/3/2022,22154.08008
24/3/2022,21945.94922
25/3/2022,21404.88086
28/3/2022,21684.9707
29/3/2022,21927.63086
30/3/2022,22232.0293
31/3/2022,21996.84961
1/4/2022,22039.55078
4/4/2022,22502.31055
6/4/2022,22080.51953
7/4/2022,21808.98047
8/4/2022,21872.00977
11/4/2022,21208.30078
12/4/2022,21319.13086
13/4/2022,21374.36914
14/4/2022,21518.08008
19/4/2022,21027.75977
20/4/2022,20944.66992
21/4/2022,20682.2207
22/4/2022,20638.51953
25/4/2022,19869.33984
26/4/2022,19934.71094
27/4/2022,19946.35938
28/4/2022,20276.16992
29/4/2022,21089.39063
3/5/2022,21101.89063
4/5/2022,20869.51953
5/5/2022,20793.40039
6/5/2022,20001.96094
10/5/2022,19633.68945
11/5/2022,19824.57031
12/5/2022,19380.33984
13/5/2022,19898.76953
16/5/2022,19950.21094
17/5/2022,20602.51953
18/5/2022,20644.2793
19/5/2022,20120.67969
20/5/2022,20717.24023
23/5/2022,20470.06055
24/5/2022,20112.09961
25/5/2022,20171.26953
26/5/2022,20116.19922
27/5/2022,20697.35938
30/5/2022,21123.92969
31/5/2022,21415.19922
1/6/2022,21294.93945
2/6/2022,21082.13086
6/6/2022,21653.90039
7/6/2022,21531.66992
8/6/2022,22014.58984
9/6/2022,21869.05078
10/6/2022,21806.17969
13/6/2022,21067.58008
14/6/2022,21067.99023
15/6/2022,21308.21094
16/6/2022,20845.42969
17/6/2022,21075
20/6/2022,21163.91016
21/6/2022,21559.58984
22/6/2022,21008.33984
23/6/2022,21273.86914
24/6/2022,21719.06055
27/6/2022,22229.51953
28/6/2022,22418.9707
29/6/2022,21996.89063
30/6/2022,21859.78906
4/7/2022,21830.34961
5/7/2022,21853.07031
6/7/2022,21586.66016
7/7/2022,21643.58008
8/7/2022,21725.7793
11/7/2022,21124.19922
12/7/2022,20844.74023
13/7/2022,20797.94922
14/7/2022,20751.21094
15/7/2022,20297.7207
18/7/2022,20846.17969
19/7/2022,20661.06055
20/7/2022,20890.2207
21/7/2022,20574.63086
22/7/2022,20609.14063
25/7/2022,20562.93945
26/7/2022,20905.88086
27/7/2022,20670.03906
28/7/2022,20622.67969
29/7/2022,20156.50977
1/8/2022,20165.83984
2/8/2022,19689.21094
3/8/2022,19767.08984
4/8/2022,20174.03906
5/8/2022,20201.93945
8/8/2022,20045.76953
9/8/2022,20003.43945
10/8/2022,19610.83984
11/8/2022,20082.42969
12/8/2022,20175.61914
15/8/2022,20040.85938
16/8/2022,19830.51953
17/8/2022,19922.44922
18/8/2022,19763.91016
19/8/2022,19773.0293
22/8/2022,19656.98047
23/8/2022,19503.25
24/8/2022,19268.74023
25/8/2022,19968.38086
26/8/2022,20170.03906
29/8/2022,20023.2207
30/8/2022,19949.0293
31/8/2022,19954.39063
1/9/2022,19597.31055
2/9/2022,19452.08984
5/9/2022,19225.69922
6/9/2022,19202.73047
7/9/2022,19044.30078
8/9/2022,18854.61914
9/9/2022,19362.25
13/9/2022,19326.85938
14/9/2022,18847.09961
15/9/2022,18930.38086
16/9/2022,18761.68945
19/9/2022,18565.9707
20/9/2022,18781.41992
21/9/2022,18444.61914
22/9/2022,18147.94922
23/9/2022,17933.26953
26/9/2022,17855.14063
27/9/2022,17860.31055
28/9/2022,17250.88086
29/9/2022,17165.86914
30/9/2022,17222.83008
3/10/2022,17079.50977
5/10/2022,18087.9707
6/10/2022,18012.15039
7/10/2022,17740.05078
10/10/2022,17216.66016
11/10/2022,16832.35938
12/10/2022,16701.0293
13/10/2022,16389.10938
14/10/2022,16587.68945
17/10/2022,16612.90039
18/10/2022,16914.58008
19/10/2022,16511.2793
20/10/2022,16280.21973
21/10/2022,16211.12012
24/10/2022,15180.69043
